Vin,Vd,Id
0.000000,0.000000,0.000000e+00
0.050000,0.050000,2.119853e-14
0.100000,0.100000,8.733482e-14
0.150000,0.150000,2.936703e-13
0.200000,0.200000,9.374068e-13
0.250000,0.250000,2.945770e-12
0.300000,0.300000,9.211565e-12
0.350000,0.350000,2.875992e-11
0.400000,0.400000,8.974778e-11
0.450000,0.450000,2.800199e-10
0.500000,0.499999,8.736302e-10
0.550000,0.549997,2.725504e-09
0.600000,0.599991,8.502076e-09
0.650000,0.649973,2.651438e-08
0.700000,0.699917,8.261544e-08
0.750000,0.749743,2.567289e-07
0.800000,0.799209,7.912725e-07
0.850000,0.847619,2.380948e-06
0.900000,0.893271,6.728505e-06
0.950000,0.933278,1.672205e-05
1.000000,0.965326,3.467429e-05
1.050000,0.989666,6.033357e-05
1.100000,1.008140,9.186007e-05
1.150000,1.022535,1.274648e-04
1.200000,1.034113,1.658868e-04
1.250000,1.043695,2.063047e-04
1.300000,1.051817,2.481831e-04
1.350000,1.058836,2.911642e-04
1.400000,1.064999,3.350011e-04
1.450000,1.070482,3.795181e-04
1.500000,1.075413,4.245869e-04
1.550000,1.079889,4.701110e-04
1.600000,1.083983,5.160166e-04
1.650000,1.087754,5.622461e-04
1.700000,1.091246,6.087536e-04
1.750000,1.094498,6.555022e-04
1.800000,1.097538,7.024617e-04
1.850000,1.100393,7.496071e-04
1.900000,1.103082,7.969176e-04
1.950000,1.105624,8.443755e-04
2.000000,1.108034,8.919660e-04
2.050000,1.110324,9.396761e-04
2.100000,1.112505,9.874949e-04
2.150000,1.114587,1.035413e-03
2.200000,1.116579,1.083421e-03
2.250000,1.118488,1.131512e-03
2.300000,1.120320,1.179680e-03
2.350000,1.122081,1.227919e-03
2.400000,1.123777,1.276223e-03
2.450000,1.125411,1.324589e-03
2.500000,1.126989,1.373011e-03
2.550000,1.128514,1.421486e-03
2.600000,1.129989,1.470011e-03
2.650000,1.131417,1.518583e-03
2.700000,1.132802,1.567198e-03
2.750000,1.134146,1.615854e-03
2.800000,1.135450,1.664550e-03
2.850000,1.136719,1.713281e-03
2.900000,1.137952,1.762048e-03
2.950000,1.139152,1.810848e-03
3.000000,1.140322,1.859678e-03
3.050000,1.141461,1.908539e-03
3.100000,1.142573,1.957427e-03
3.150000,1.143658,2.006342e-03
3.200000,1.144717,2.055283e-03
3.250000,1.145751,2.104249e-03
3.300000,1.146763,2.153237e-03
3.350000,1.147752,2.202248e-03
3.400000,1.148719,2.251281e-03
3.450000,1.149667,2.300333e-03
3.500000,1.150594,2.349406e-03
3.550000,1.151503,2.398497e-03
3.600000,1.152394,2.447606e-03
3.650000,1.153267,2.496733e-03
3.700000,1.154124,2.545876e-03
3.750000,1.154964,2.595036e-03
3.800000,1.155789,2.644211e-03
3.850000,1.156599,2.693401e-03
3.900000,1.157395,2.742605e-03
3.950000,1.158176,2.791824e-03
4.000000,1.158944,2.841056e-03
4.050000,1.159700,2.890300e-03
4.100000,1.160442,2.939558e-03
4.150000,1.161173,2.988827e-03
4.200000,1.161891,3.038109e-03
4.250000,1.162599,3.087401e-03
4.300000,1.163295,3.136705e-03
4.350000,1.163980,3.186020e-03
4.400000,1.164656,3.235344e-03
4.450000,1.165321,3.284679e-03
4.500000,1.165976,3.334024e-03
4.550000,1.166622,3.383378e-03
4.600000,1.167258,3.432742e-03
4.650000,1.167886,3.482114e-03
4.700000,1.168504,3.531496e-03
4.750000,1.169115,3.580885e-03
4.800000,1.169717,3.630283e-03
4.850000,1.170311,3.679689e-03
4.900000,1.170897,3.729103e-03
4.950000,1.171476,3.778524e-03
5.000000,1.172047,3.827953e-03
